workerid,proliferate.condition,comprehension_check,expCondition,item_0,item_0_categorization_0,item_0_categorization_1,item_0_categorization_2,item_0_categorization_3,item_0_property_0,item_0_property_1,item_0_property_2,item_0_property_3,item_1,item_1_categorization_0,item_1_categorization_1,item_1_categorization_2,item_1_categorization_3,item_1_property_0,item_1_property_1,item_1_property_2,item_1_property_3,response_behavioral,response_biological,response_purpose,response_social,error
2809,condition 1,0,generic,Zerp,social,biological,behavioral,purpose,cooperate with group members,have hair,swim,purify water,Vulpan,purpose,behavioral,social,biological,enable decomposition,jump,share food with group members,are warm blooded,1,1,1,0,
2809,condition 1,0,generic,Jig,biological,purpose,behavioral,social,have long legs,make honey,chew,follow the dominant group member,Xan,purpose,biological,behavioral,social,aerate soil,have pointy ears,run,pair bond,1,1,2,0,
2820,condition 1,1,generic,Vulpan,behavioral,social,purpose,biological,jump,share food with group members,enable decomposition,are warm blooded,Jig,biological,behavioral,purpose,social,have long legs,follow the dominant group member,chew,make honey,3,3,3,3,
2820,condition 1,1,generic,Zerp,social,biological,behavioral,purpose,cooperate with group members,have hair,swim,purify water,Xan,behavioral,purpose,social,biological,pair bond,aerate soil,run,have pointy ears,3,3,3,3,
2800,condition 1,1,generic,Vulpan,purpose,biological,social,behavioral,enable decomposition,are warm blooded,share food with group members,jump,Jig,biological,social,purpose,behavioral,have long legs,follow the dominant group member,make honey,chew,2,3,6,5,
2800,condition 1,1,generic,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,Zerp,biological,social,behavioral,purpose,have hair,cooperate with group members,swim,purify water,4,6,6,3,
2752,condition 1,0,generic,Vulpan,behavioral,social,biological,purpose,jump,share food with group members,enable decomposition,are warm blooded,Xan,behavioral,purpose,social,biological,run,aerate soil,pair bond,have pointy ears,5,6,5,5,
2752,condition 1,0,generic,Jig,biological,social,behavioral,purpose,have long legs,follow the dominant group member,chew,make honey,Zerp,purpose,biological,behavioral,social,purify water,have hair,swim,cooperate with group members,5,2,2,5,
2784,condition 1,0,generic,Jig,behavioral,biological,social,purpose,chew,have long legs,follow the dominant group member,make honey,Vulpan,biological,purpose,behavioral,social,are warm blooded,jump,enable decomposition,share food with group members,1,2,3,4,
2784,condition 1,0,generic,Xan,purpose,biological,behavioral,social,run,have pointy ears,pair bond,aerate soil,Zerp,purpose,social,behavioral,biological,purify water,cooperate with group members,swim,have hair,2,3,2,2,
2750,condition 1,1,generic,Vulpan,behavioral,purpose,social,biological,jump,are warm blooded,share food with group members,enable decomposition,Jig,behavioral,purpose,social,biological,make honey,chew,follow the dominant group member,have long legs,3,3,3,3,
2750,condition 1,1,generic,Zerp,biological,behavioral,purpose,social,have hair,swim,purify water,cooperate with group members,Xan,social,behavioral,purpose,biological,pair bond,run,aerate soil,have pointy ears,3,3,3,3,
2839,condition 1,1,generic,Xan,behavioral,biological,purpose,social,run,have pointy ears,aerate soil,pair bond,Vulpan,behavioral,biological,social,purpose,jump,are warm blooded,share food with group members,enable decomposition,2,3,3,1,
2839,condition 1,1,generic,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,Zerp,purpose,social,biological,behavioral,purify water,cooperate with group members,have hair,swim,3,2,3,1,
2790,condition 1,1,generic,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,Vulpan,behavioral,biological,social,purpose,jump,are warm blooded,share food with group members,enable decomposition,1,1,3,1,
2790,condition 1,1,generic,Zerp,biological,behavioral,social,purpose,have hair,swim,cooperate with group members,purify water,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,2,2,3,1,
2835,condition 1,0,generic,Jig,behavioral,social,biological,purpose,chew,follow the dominant group member,have long legs,make honey,Vulpan,social,biological,behavioral,purpose,share food with group members,are warm blooded,jump,enable decomposition,1,1,1,1,
2835,condition 1,0,generic,Xan,social,behavioral,purpose,biological,pair bond,run,aerate soil,have pointy ears,Zerp,behavioral,biological,social,purpose,swim,have hair,cooperate with group members,purify water,1,1,1,1,
2810,condition 1,1,generic,Vulpan,purpose,social,behavioral,biological,enable decomposition,share food with group members,jump,are warm blooded,Jig,purpose,behavioral,biological,social,make honey,chew,have long legs,follow the dominant group member,1,0,2,1,
2810,condition 1,1,generic,Xan,biological,social,behavioral,purpose,have pointy ears,pair bond,run,aerate soil,Zerp,behavioral,biological,social,purpose,swim,have hair,cooperate with group members,purify water,0,0,3,0,
2760,condition 1,1,generic,Xan,biological,purpose,social,behavioral,pair bond,have pointy ears,run,aerate soil,Vulpan,social,biological,behavioral,purpose,share food with group members,enable decomposition,jump,are warm blooded,1,2,1,0,
2760,condition 1,1,generic,Jig,behavioral,social,biological,purpose,make honey,follow the dominant group member,have long legs,chew,Zerp,social,biological,behavioral,purpose,cooperate with group members,have hair,swim,purify water,2,1,0,0,
2803,condition 1,1,generic,Xan,social,biological,behavioral,purpose,pair bond,have pointy ears,run,aerate soil,Vulpan,biological,behavioral,social,purpose,are warm blooded,jump,share food with group members,enable decomposition,1,4,1,1,
2803,condition 1,1,generic,Jig,biological,behavioral,purpose,social,have long legs,chew,make honey,follow the dominant group member,Zerp,purpose,biological,social,behavioral,purify water,have hair,swim,cooperate with group members,1,5,1,1,
2828,condition 1,1,generic,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,Vulpan,behavioral,purpose,social,biological,jump,enable decomposition,share food with group members,are warm blooded,1,3,1,0,
2828,condition 1,1,generic,Jig,purpose,behavioral,biological,social,make honey,chew,have long legs,follow the dominant group member,Zerp,social,behavioral,biological,purpose,cooperate with group members,swim,have hair,purify water,1,1,2,0,
2779,condition 1,1,generic,Vulpan,social,purpose,biological,behavioral,share food with group members,enable decomposition,are warm blooded,jump,Jig,purpose,biological,behavioral,social,make honey,have long legs,chew,follow the dominant group member,2,5,4,1,
2779,condition 1,1,generic,Zerp,social,biological,purpose,behavioral,cooperate with group members,have hair,purify water,swim,Xan,social,biological,behavioral,purpose,pair bond,have pointy ears,run,aerate soil,1,2,4,1,
2783,condition 1,1,generic,Vulpan,purpose,biological,social,behavioral,enable decomposition,are warm blooded,share food with group members,jump,Jig,behavioral,purpose,social,biological,chew,make honey,follow the dominant group member,have long legs,1,1,4,1,
2783,condition 1,1,generic,Xan,social,biological,purpose,behavioral,pair bond,have pointy ears,aerate soil,run,Zerp,social,biological,purpose,behavioral,cooperate with group members,have hair,purify water,swim,2,1,4,1,
2833,condition 1,1,generic,Xan,purpose,social,behavioral,biological,aerate soil,pair bond,run,have pointy ears,Vulpan,behavioral,biological,social,purpose,jump,are warm blooded,share food with group members,enable decomposition,2,3,2,2,
2833,condition 1,1,generic,Zerp,social,behavioral,purpose,biological,cooperate with group members,swim,purify water,have hair,Jig,social,biological,behavioral,purpose,follow the dominant group member,have long legs,chew,make honey,2,2,2,2,
2786,condition 1,1,generic,Zerp,social,purpose,biological,behavioral,cooperate with group members,purify water,have hair,swim,Vulpan,social,purpose,behavioral,biological,share food with group members,enable decomposition,jump,are warm blooded,0,3,5,0,
2786,condition 1,1,generic,Jig,purpose,biological,behavioral,social,make honey,have long legs,chew,follow the dominant group member,Xan,biological,behavioral,social,purpose,have pointy ears,run,pair bond,aerate soil,0,1,1,0,
2756,condition 1,1,generic,Zerp,biological,behavioral,social,purpose,have hair,swim,cooperate with group members,purify water,Vulpan,social,purpose,behavioral,biological,share food with group members,enable decomposition,jump,are warm blooded,6,6,6,2,
2756,condition 1,1,generic,Xan,purpose,social,behavioral,biological,aerate soil,pair bond,run,have pointy ears,Jig,purpose,biological,social,behavioral,make honey,have long legs,follow the dominant group member,chew,2,2,2,2,
2781,condition 1,1,generic,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,Vulpan,purpose,behavioral,biological,social,enable decomposition,jump,are warm blooded,share food with group members,2,2,2,2,
2781,condition 1,1,generic,Zerp,social,biological,purpose,behavioral,cooperate with group members,have hair,purify water,swim,Jig,biological,behavioral,social,purpose,have long legs,chew,follow the dominant group member,make honey,0,2,1,1,
2807,condition 1,1,generic,Vulpan,biological,purpose,social,behavioral,are warm blooded,enable decomposition,share food with group members,jump,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,0,0,4,1,
2807,condition 1,1,generic,Xan,behavioral,social,biological,purpose,run,pair bond,have pointy ears,aerate soil,Zerp,social,biological,purpose,behavioral,cooperate with group members,have hair,purify water,swim,3,0,4,1,
2776,condition 1,0,generic,Vulpan,behavioral,social,biological,purpose,jump,share food with group members,are warm blooded,enable decomposition,Xan,behavioral,social,purpose,biological,run,pair bond,aerate soil,have pointy ears,5,5,2,4,
2776,condition 1,0,generic,Zerp,behavioral,purpose,social,biological,swim,purify water,cooperate with group members,have hair,Jig,biological,purpose,social,behavioral,have long legs,make honey,follow the dominant group member,chew,1,5,4,4,
2837,condition 1,1,generic,Xan,biological,behavioral,social,purpose,have pointy ears,run,pair bond,aerate soil,Vulpan,purpose,social,behavioral,biological,enable decomposition,share food with group members,jump,are warm blooded,1,2,4,0,
2837,condition 1,1,generic,Jig,social,purpose,biological,behavioral,follow the dominant group member,make honey,have long legs,chew,Zerp,biological,social,purpose,behavioral,have hair,cooperate with group members,purify water,swim,2,1,5,3,
2842,condition 1,1,generic,Vulpan,behavioral,purpose,social,biological,jump,enable decomposition,share food with group members,are warm blooded,Zerp,biological,social,behavioral,purpose,have hair,cooperate with group members,swim,purify water,3,0,4,0,
2842,condition 1,1,generic,Jig,purpose,social,biological,behavioral,make honey,follow the dominant group member,have long legs,chew,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,0,1,2,3,
2850,condition 1,1,generic,Vulpan,biological,behavioral,purpose,social,are warm blooded,jump,enable decomposition,share food with group members,Jig,biological,behavioral,purpose,social,have long legs,chew,make honey,follow the dominant group member,1,2,2,1,
2850,condition 1,1,generic,Xan,social,behavioral,biological,purpose,pair bond,run,have pointy ears,aerate soil,Zerp,social,behavioral,biological,purpose,cooperate with group members,swim,have hair,purify water,2,1,2,1,
2844,condition 1,1,generic,Vulpan,biological,purpose,social,behavioral,are warm blooded,enable decomposition,share food with group members,jump,Jig,social,behavioral,purpose,biological,follow the dominant group member,chew,make honey,have long legs,1,2,5,3,
2844,condition 1,1,generic,Zerp,behavioral,social,purpose,biological,swim,cooperate with group members,purify water,have hair,Xan,purpose,behavioral,biological,social,aerate soil,run,have pointy ears,pair bond,6,4,6,3,
2748,condition 1,1,generic,Vulpan,biological,social,purpose,behavioral,are warm blooded,share food with group members,enable decomposition,jump,Zerp,biological,purpose,behavioral,social,have hair,purify water,swim,cooperate with group members,2,2,4,1,
2748,condition 1,1,generic,Jig,biological,behavioral,purpose,social,have long legs,chew,make honey,follow the dominant group member,Xan,social,biological,behavioral,purpose,pair bond,have pointy ears,run,aerate soil,1,0,4,2,
2818,condition 1,0,generic,Zerp,social,biological,purpose,behavioral,cooperate with group members,have hair,purify water,swim,Vulpan,social,purpose,behavioral,biological,share food with group members,enable decomposition,jump,are warm blooded,0,3,3,0,
2818,condition 1,0,generic,Jig,biological,social,behavioral,purpose,have long legs,follow the dominant group member,chew,make honey,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,0,5,3,0,
2788,condition 1,1,generic,Zerp,purpose,behavioral,biological,social,purify water,swim,have hair,cooperate with group members,Vulpan,biological,behavioral,social,purpose,are warm blooded,jump,share food with group members,enable decomposition,1,1,2,1,
2788,condition 1,1,generic,Xan,purpose,biological,behavioral,social,aerate soil,have pointy ears,run,pair bond,Jig,biological,behavioral,social,purpose,have long legs,chew,follow the dominant group member,make honey,1,2,2,1,
2768,condition 1,1,generic,Xan,social,biological,purpose,behavioral,pair bond,have pointy ears,run,aerate soil,Vulpan,social,purpose,behavioral,biological,share food with group members,jump,enable decomposition,are warm blooded,1,2,2,1,
2768,condition 1,1,generic,Jig,biological,purpose,behavioral,social,have long legs,chew,make honey,follow the dominant group member,Zerp,biological,social,purpose,behavioral,have hair,cooperate with group members,purify water,swim,1,2,2,1,
2792,condition 1,1,generic,Zerp,social,behavioral,biological,purpose,cooperate with group members,swim,have hair,purify water,Vulpan,purpose,behavioral,biological,social,enable decomposition,jump,are warm blooded,share food with group members,2,2,2,1,
2792,condition 1,1,generic,Jig,social,biological,behavioral,purpose,follow the dominant group member,have long legs,chew,make honey,Xan,purpose,social,behavioral,biological,aerate soil,pair bond,run,have pointy ears,2,2,3,1,
2848,condition 1,1,generic,Vulpan,social,behavioral,purpose,biological,share food with group members,jump,enable decomposition,are warm blooded,Xan,purpose,social,behavioral,biological,aerate soil,pair bond,run,have pointy ears,2,2,2,2,
2848,condition 1,1,generic,Zerp,purpose,social,behavioral,biological,purify water,cooperate with group members,swim,have hair,Jig,purpose,social,biological,behavioral,make honey,follow the dominant group member,have long legs,chew,2,2,2,2,
2846,condition 1,1,generic,Vulpan,behavioral,biological,purpose,social,enable decomposition,are warm blooded,jump,share food with group members,Jig,biological,social,behavioral,purpose,have long legs,follow the dominant group member,make honey,chew,2,2,2,3,
2846,condition 1,1,generic,Zerp,biological,social,purpose,behavioral,have hair,cooperate with group members,swim,purify water,Xan,purpose,behavioral,biological,social,run,aerate soil,have pointy ears,pair bond,2,2,2,3,
2764,condition 1,1,generic,Vulpan,social,purpose,biological,behavioral,share food with group members,enable decomposition,are warm blooded,jump,Jig,biological,social,purpose,behavioral,have long legs,follow the dominant group member,make honey,chew,2,2,4,2,
2764,condition 1,1,generic,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,Zerp,social,behavioral,biological,purpose,cooperate with group members,swim,have hair,purify water,2,2,4,2,
2796,condition 1,1,generic,Xan,behavioral,biological,social,purpose,aerate soil,have pointy ears,pair bond,run,Vulpan,purpose,behavioral,social,biological,jump,share food with group members,enable decomposition,are warm blooded,1,1,1,5,
2796,condition 1,1,generic,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,Zerp,social,behavioral,biological,purpose,cooperate with group members,swim,have hair,purify water,1,1,1,1,
2822,condition 1,0,generic,Jig,purpose,social,biological,behavioral,make honey,follow the dominant group member,have long legs,chew,Vulpan,biological,purpose,behavioral,social,are warm blooded,enable decomposition,jump,share food with group members,2,3,4,2,
2822,condition 1,0,generic,Zerp,purpose,social,biological,behavioral,purify water,cooperate with group members,have hair,swim,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,2,2,3,2,
2758,condition 1,1,generic,Vulpan,purpose,biological,social,behavioral,share food with group members,enable decomposition,jump,are warm blooded,Zerp,purpose,social,biological,behavioral,swim,cooperate with group members,have hair,purify water,2,2,3,1,
2758,condition 1,1,generic,Jig,biological,purpose,behavioral,social,have long legs,make honey,chew,follow the dominant group member,Xan,behavioral,social,biological,purpose,run,pair bond,have pointy ears,aerate soil,1,3,5,2,
2798,condition 1,1,generic,Zerp,social,purpose,biological,behavioral,cooperate with group members,purify water,have hair,swim,Vulpan,behavioral,social,biological,purpose,jump,share food with group members,are warm blooded,enable decomposition,1,2,1,1,
2798,condition 1,1,generic,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,Jig,behavioral,social,biological,purpose,chew,follow the dominant group member,have long legs,make honey,2,3,2,1,
2770,condition 1,0,generic,Jig,purpose,biological,behavioral,social,make honey,have long legs,chew,follow the dominant group member,Vulpan,biological,purpose,social,behavioral,are warm blooded,enable decomposition,share food with group members,jump,1,1,1,1,
2770,condition 1,0,generic,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,Zerp,purpose,behavioral,social,biological,purify water,swim,cooperate with group members,have hair,1,1,1,1,
2852,condition 1,0,generic,Xan,biological,purpose,behavioral,social,have pointy ears,aerate soil,run,pair bond,Vulpan,purpose,behavioral,biological,social,enable decomposition,jump,are warm blooded,share food with group members,1,3,3,3,
2852,condition 1,0,generic,Zerp,purpose,behavioral,social,biological,purify water,swim,cooperate with group members,have hair,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,2,3,5,2,
2814,condition 1,1,generic,Vulpan,biological,purpose,behavioral,social,jump,enable decomposition,are warm blooded,share food with group members,Xan,purpose,social,behavioral,biological,aerate soil,pair bond,run,have pointy ears,1,3,2,2,
2814,condition 1,1,generic,Zerp,biological,purpose,social,behavioral,have hair,purify water,cooperate with group members,swim,Jig,behavioral,biological,social,purpose,chew,have long legs,follow the dominant group member,make honey,1,2,3,1,
2772,condition 1,1,generic,Vulpan,behavioral,biological,purpose,social,jump,are warm blooded,enable decomposition,share food with group members,Jig,behavioral,social,biological,purpose,chew,follow the dominant group member,have long legs,make honey,1,1,1,1,
2772,condition 1,1,generic,Zerp,purpose,biological,social,behavioral,purify water,have hair,cooperate with group members,swim,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,1,1,1,1,
2812,condition 1,1,generic,Vulpan,behavioral,purpose,biological,social,jump,enable decomposition,are warm blooded,share food with group members,Xan,purpose,biological,social,behavioral,aerate soil,have pointy ears,pair bond,run,0,3,3,0,
2812,condition 1,1,generic,Zerp,biological,behavioral,social,purpose,have hair,swim,cooperate with group members,purify water,Jig,biological,purpose,social,behavioral,have long legs,make honey,follow the dominant group member,chew,1,3,4,0,
2824,condition 1,1,generic,Zerp,social,behavioral,purpose,biological,cooperate with group members,swim,purify water,have hair,Vulpan,behavioral,purpose,biological,social,jump,enable decomposition,are warm blooded,share food with group members,1,4,2,1,
2824,condition 1,1,generic,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,Jig,social,biological,purpose,behavioral,follow the dominant group member,have long legs,make honey,chew,2,2,2,1,
2791,condition 2,1,non_generic,Zerp,behavioral,social,biological,purpose,cooperates with group members,swims,has hair,purifies water,Vulpan,social,purpose,behavioral,biological,shares food with group members,enables decomposition,jumps,is warm blooded,3,4,5,1,
2791,condition 2,1,non_generic,Xan,behavioral,purpose,social,biological,runs,aerates soil,pair bonds,has pointy ears,Jig,social,behavioral,purpose,biological,follows the dominant group member,chews,makes honey,has long legs,4,4,5,2,
2823,condition 2,1,non_generic,Zerp,biological,purpose,social,behavioral,has hair,purifies water,cooperates with group members,swims,Vulpan,behavioral,social,purpose,biological,jumps,shares food with group members,enables decomposition,is warm blooded,2,1,3,1,
2823,condition 2,1,non_generic,Jig,biological,purpose,social,behavioral,has long legs,makes honey,follows the dominant group member,chews,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,runs,pair bonds,1,1,4,1,
2799,condition 2,1,non_generic,Vulpan,behavioral,purpose,social,biological,jumps,enables decomposition,shares food with group members,is warm blooded,Xan,purpose,behavioral,biological,social,aerates soil,runs,has pointy ears,pair bonds,1,1,1,1,
2799,condition 2,1,non_generic,Zerp,biological,purpose,behavioral,social,has hair,purifies water,swims,cooperates with group members,Jig,biological,purpose,behavioral,social,has long legs,makes honey,chews,follows the dominant group member,1,1,1,1,
2763,condition 2,1,non_generic,Xan,biological,behavioral,social,purpose,pair bonds,aerates soil,has pointy ears,runs,Vulpan,biological,behavioral,social,purpose,is warm blooded,jumps,shares food with group members,enables decomposition,3,2,5,5,
2763,condition 2,1,non_generic,Jig,biological,purpose,behavioral,social,has long legs,makes honey,chews,follows the dominant group member,Zerp,purpose,behavioral,social,biological,purifies water,swims,cooperates with group members,has hair,5,4,6,5,
2771,condition 2,1,non_generic,Zerp,social,biological,purpose,behavioral,cooperates with group members,has hair,purifies water,swims,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,4,1,1,1,
2771,condition 2,1,non_generic,Xan,behavioral,biological,purpose,social,runs,has pointy ears,aerates soil,pair bonds,Jig,purpose,social,behavioral,biological,makes honey,follows the dominant group member,chews,has long legs,1,3,4,1,
2843,condition 2,1,non_generic,Zerp,biological,behavioral,social,purpose,has hair,swims,cooperates with group members,purifies water,Vulpan,biological,social,behavioral,purpose,is warm blooded,shares food with group members,jumps,enables decomposition,4,5,4,1,
2843,condition 2,1,non_generic,Jig,purpose,behavioral,biological,social,makes honey,chews,has long legs,follows the dominant group member,Xan,social,biological,behavioral,purpose,pair bonds,has pointy ears,runs,aerates soil,3,5,5,3,
2801,condition 2,1,non_generic,Vulpan,behavioral,social,biological,purpose,jumps,shares food with group members,is warm blooded,enables decomposition,Xan,social,purpose,behavioral,biological,pair bonds,aerates soil,runs,has pointy ears,2,3,4,1,
2801,condition 2,1,non_generic,Zerp,purpose,biological,social,behavioral,purifies water,has hair,cooperates with group members,swims,Jig,behavioral,social,biological,purpose,chews,follows the dominant group member,has long legs,makes honey,1,3,3,2,
2825,condition 2,0,non_generic,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,Zerp,social,biological,behavioral,purpose,cooperates with group members,has hair,swims,purifies water,1,1,1,2,
2825,condition 2,0,non_generic,Xan,biological,purpose,behavioral,social,has pointy ears,pair bonds,runs,aerates soil,Jig,behavioral,biological,purpose,social,makes honey,chews,has long legs,follows the dominant group member,2,2,2,2,
2838,condition 2,0,non_generic,Vulpan,behavioral,purpose,biological,social,jumps,enables decomposition,is warm blooded,shares food with group members,Jig,behavioral,biological,purpose,social,chews,has long legs,makes honey,follows the dominant group member,1,0,2,1,
2838,condition 2,0,non_generic,Xan,social,purpose,biological,behavioral,pair bonds,aerates soil,has pointy ears,runs,Zerp,social,biological,behavioral,purpose,cooperates with group members,has hair,swims,purifies water,1,1,2,1,
2815,condition 2,1,non_generic,Jig,social,purpose,behavioral,biological,follows the dominant group member,makes honey,chews,has long legs,Vulpan,purpose,behavioral,social,biological,enables decomposition,shares food with group members,jumps,is warm blooded,1,1,1,1,
2815,condition 2,1,non_generic,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,Xan,behavioral,social,biological,purpose,runs,pair bonds,has pointy ears,aerates soil,1,1,1,1,
2813,condition 2,1,non_generic,Vulpan,behavioral,purpose,biological,social,jumps,enables decomposition,is warm blooded,shares food with group members,Jig,behavioral,social,biological,purpose,chews,follows the dominant group member,has long legs,makes honey,1,1,5,1,
2813,condition 2,1,non_generic,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,runs,pair bonds,1,1,4,4,
2821,condition 2,1,non_generic,Xan,purpose,social,behavioral,biological,aerates soil,pair bonds,runs,has pointy ears,Vulpan,purpose,behavioral,social,biological,enables decomposition,jumps,shares food with group members,is warm blooded,2,3,4,3,
2821,condition 2,1,non_generic,Jig,social,behavioral,purpose,biological,follows the dominant group member,chews,makes honey,has long legs,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,2,4,5,3,
2753,condition 2,1,non_generic,Vulpan,behavioral,purpose,biological,social,jumps,enables decomposition,is warm blooded,shares food with group members,Jig,biological,social,behavioral,purpose,has long legs,follows the dominant group member,makes honey,chews,1,5,3,1,
2753,condition 2,1,non_generic,Zerp,behavioral,biological,purpose,social,swims,has hair,purifies water,cooperates with group members,Xan,behavioral,social,purpose,biological,runs,pair bonds,aerates soil,has pointy ears,3,4,3,1,
2806,condition 2,0,non_generic,Vulpan,purpose,social,behavioral,biological,enables decomposition,shares food with group members,jumps,is warm blooded,Xan,purpose,biological,behavioral,social,runs,has pointy ears,aerates soil,pair bonds,2,2,2,2,
2806,condition 2,0,non_generic,Jig,social,purpose,behavioral,biological,follows the dominant group member,makes honey,chews,has long legs,Zerp,purpose,behavioral,social,biological,purifies water,swims,cooperates with group members,has hair,2,2,2,2,
2789,condition 2,1,non_generic,Vulpan,biological,social,purpose,behavioral,is warm blooded,shares food with group members,enables decomposition,jumps,Xan,behavioral,purpose,social,biological,runs,aerates soil,pair bonds,has pointy ears,1,2,1,1,
2789,condition 2,1,non_generic,Jig,behavioral,biological,purpose,social,chews,has long legs,makes honey,follows the dominant group member,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,2,1,1,1,
2767,condition 2,1,non_generic,Vulpan,social,biological,purpose,behavioral,shares food with group members,is warm blooded,enables decomposition,jumps,Xan,behavioral,purpose,biological,social,runs,aerates soil,has pointy ears,pair bonds,0,4,2,0,
2767,condition 2,1,non_generic,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,Jig,social,behavioral,biological,purpose,follows the dominant group member,chews,has long legs,makes honey,0,4,3,0,
2851,condition 2,1,non_generic,Jig,biological,social,purpose,behavioral,has long legs,follows the dominant group member,makes honey,chews,Vulpan,purpose,social,behavioral,biological,enables decomposition,shares food with group members,jumps,is warm blooded,0,,0,0,
2851,condition 2,1,non_generic,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,runs,pair bonds,Zerp,biological,purpose,behavioral,social,has hair,purifies water,swims,cooperates with group members,0,0,0,0,
