workerid,proliferate.condition,comprehension_check,expCondition,item_0,item_0_categorization_0,item_0_categorization_1,item_0_categorization_2,item_0_categorization_3,item_0_property_0,item_0_property_1,item_0_property_2,item_0_property_3,item_1,item_1_categorization_0,item_1_categorization_1,item_1_categorization_2,item_1_categorization_3,item_1_property_0,item_1_property_1,item_1_property_2,item_1_property_3,offspring_behavioral,offspring_biological,offspring_purpose,offspring_social,error
4159,condition 1,1,generic,Jig,social,behavioral,biological,purpose,chew,follow the dominant group member,have long legs,make honey,Xan,biological,purpose,behavioral,social,pair bond,aerate soil,have pointy ears,run,1,1,1,1,
4177,condition 1,1,generic,Vulpan,behavioral,social,purpose,biological,jump,share food with group members,enable decomposition,are warm blooded,Xan,social,purpose,behavioral,biological,pair bond,aerate soil,run,have pointy ears,3,3,3,3,
4177,condition 1,1,generic,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,Zerp,behavioral,biological,purpose,social,swim,have hair,purify water,cooperate with group members,3,3,3,3,
4235,condition 1,1,generic,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,Vulpan,behavioral,purpose,social,biological,jump,enable decomposition,share food with group members,are warm blooded,1,1,1,1,
4235,condition 1,1,generic,Zerp,purpose,biological,social,behavioral,purify water,have hair,cooperate with group members,swim,Jig,behavioral,biological,purpose,social,chew,have long legs,make honey,follow the dominant group member,1,1,1,1,
4181,condition 1,1,generic,Zerp,biological,purpose,social,behavioral,have hair,purify water,cooperate with group members,swim,Vulpan,behavioral,purpose,social,biological,jump,enable decomposition,share food with group members,are warm blooded,1,2,2,1,
4181,condition 1,1,generic,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,Jig,behavioral,biological,purpose,social,chew,have long legs,make honey,follow the dominant group member,2,3,3,2,
4175,condition 1,1,generic,Zerp,social,biological,purpose,behavioral,cooperate with group members,have hair,purify water,swim,Vulpan,purpose,biological,social,behavioral,enable decomposition,are warm blooded,share food with group members,jump,2,2,2,2,
4175,condition 1,1,generic,Jig,social,biological,behavioral,purpose,follow the dominant group member,have long legs,chew,make honey,Xan,biological,social,behavioral,purpose,have pointy ears,pair bond,run,aerate soil,1,4,2,2,
4137,condition 1,1,generic,Vulpan,social,biological,behavioral,purpose,share food with group members,are warm blooded,jump,enable decomposition,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,1,2,1,2,
4137,condition 1,1,generic,Jig,social,biological,purpose,behavioral,follow the dominant group member,have long legs,make honey,chew,Zerp,biological,social,behavioral,purpose,have hair,cooperate with group members,swim,purify water,1,1,2,2,
4189,condition 1,1,generic,Xan,purpose,behavioral,biological,social,aerate soil,run,have pointy ears,pair bond,Vulpan,behavioral,social,purpose,biological,jump,share food with group members,enable decomposition,are warm blooded,3,3,3,3,
4189,condition 1,1,generic,Zerp,social,biological,behavioral,purpose,cooperate with group members,have hair,swim,purify water,Jig,purpose,behavioral,social,biological,make honey,chew,follow the dominant group member,have long legs,3,3,3,3,
4197,condition 1,1,generic,Jig,biological,behavioral,purpose,social,have long legs,chew,make honey,follow the dominant group member,Vulpan,behavioral,purpose,social,biological,jump,enable decomposition,share food with group members,are warm blooded,2,2,2,2,
4197,condition 1,1,generic,Zerp,social,behavioral,purpose,biological,cooperate with group members,swim,purify water,have hair,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,2,2,2,2,
4219,condition 1,1,generic,Vulpan,behavioral,biological,purpose,social,jump,are warm blooded,enable decomposition,share food with group members,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,2,2,2,2,
4219,condition 1,1,generic,Zerp,behavioral,social,biological,purpose,swim,cooperate with group members,have hair,purify water,Xan,biological,purpose,behavioral,social,have pointy ears,aerate soil,run,pair bond,2,2,2,2,
4213,condition 1,1,generic,Jig,behavioral,social,biological,purpose,chew,follow the dominant group member,have long legs,make honey,Vulpan,purpose,behavioral,social,biological,enable decomposition,jump,share food with group members,are warm blooded,3,2,4,1,
4213,condition 1,1,generic,Zerp,biological,behavioral,purpose,social,have hair,swim,purify water,cooperate with group members,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,4,2,3,1,
4206,condition 1,1,generic,Zerp,social,purpose,biological,behavioral,cooperate with group members,purify water,have hair,swim,Vulpan,social,behavioral,biological,purpose,share food with group members,jump,are warm blooded,enable decomposition,3,4,3,3,
4206,condition 1,1,generic,Jig,behavioral,social,biological,purpose,chew,follow the dominant group member,have long legs,make honey,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,3,4,3,3,
4167,condition 1,1,generic,Vulpan,purpose,behavioral,biological,social,jump,enable decomposition,are warm blooded,share food with group members,Xan,behavioral,social,biological,purpose,run,pair bond,have pointy ears,aerate soil,4,3,2,4,
4167,condition 1,1,generic,Jig,biological,behavioral,purpose,social,have long legs,chew,make honey,follow the dominant group member,Zerp,social,behavioral,biological,purpose,cooperate with group members,swim,have hair,purify water,2,5,5,3,
4169,condition 1,0,generic,Zerp,biological,purpose,behavioral,social,have hair,purify water,swim,cooperate with group members,Vulpan,biological,behavioral,purpose,social,enable decomposition,jump,are warm blooded,share food with group members,2,5,1,5,
4169,condition 1,0,generic,Xan,purpose,behavioral,biological,social,run,aerate soil,have pointy ears,pair bond,Jig,behavioral,social,purpose,biological,chew,follow the dominant group member,make honey,have long legs,4,4,5,3,
4173,condition 1,1,generic,Zerp,behavioral,purpose,biological,social,swim,purify water,have hair,cooperate with group members,Vulpan,biological,behavioral,social,purpose,are warm blooded,jump,share food with group members,enable decomposition,0,3,0,0,
4173,condition 1,1,generic,Xan,purpose,behavioral,biological,social,aerate soil,run,have pointy ears,pair bond,Jig,purpose,behavioral,biological,social,make honey,chew,have long legs,follow the dominant group member,1,1,1,1,
4193,condition 1,1,generic,Vulpan,behavioral,purpose,biological,social,jump,enable decomposition,are warm blooded,share food with group members,Xan,behavioral,social,biological,purpose,run,pair bond,have pointy ears,aerate soil,2,3,5,4,
4193,condition 1,1,generic,Jig,social,biological,behavioral,purpose,follow the dominant group member,have long legs,chew,make honey,Zerp,social,biological,behavioral,purpose,cooperate with group members,have hair,swim,purify water,3,2,4,4,
4153,condition 1,1,generic,Vulpan,biological,purpose,behavioral,social,are warm blooded,enable decomposition,jump,share food with group members,Jig,social,behavioral,biological,purpose,follow the dominant group member,make honey,chew,have long legs,1,1,1,2,
4153,condition 1,1,generic,Xan,biological,behavioral,purpose,social,have pointy ears,run,aerate soil,pair bond,Zerp,behavioral,social,purpose,biological,swim,cooperate with group members,purify water,have hair,4,3,5,4,
4145,condition 1,1,generic,Vulpan,purpose,biological,behavioral,social,enable decomposition,are warm blooded,jump,share food with group members,Xan,purpose,behavioral,social,biological,run,aerate soil,pair bond,have pointy ears,2,4,1,1,
4145,condition 1,1,generic,Jig,social,purpose,biological,behavioral,follow the dominant group member,make honey,have long legs,chew,Zerp,behavioral,biological,social,purpose,swim,have hair,cooperate with group members,purify water,1,1,4,1,
4127,condition 1,1,generic,Vulpan,purpose,social,biological,behavioral,jump,share food with group members,are warm blooded,enable decomposition,Xan,purpose,biological,behavioral,social,run,have pointy ears,aerate soil,pair bond,3,4,1,0,
4127,condition 1,1,generic,Jig,behavioral,biological,purpose,social,chew,have long legs,make honey,follow the dominant group member,Zerp,purpose,behavioral,social,biological,purify water,swim,cooperate with group members,have hair,3,2,5,5,
4143,condition 1,1,generic,Vulpan,social,purpose,biological,behavioral,share food with group members,enable decomposition,are warm blooded,jump,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,1,4,1,1,
4143,condition 1,1,generic,Zerp,purpose,behavioral,biological,social,purify water,swim,have hair,cooperate with group members,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,1,5,1,1,
4209,condition 1,1,generic,Vulpan,purpose,biological,behavioral,social,enable decomposition,are warm blooded,jump,share food with group members,Xan,biological,purpose,social,behavioral,have pointy ears,aerate soil,pair bond,run,2,2,2,2,
4209,condition 1,1,generic,Zerp,purpose,behavioral,social,biological,purify water,swim,cooperate with group members,have hair,Jig,behavioral,purpose,biological,social,chew,make honey,have long legs,follow the dominant group member,2,2,2,2,
4131,condition 1,1,generic,Xan,purpose,behavioral,biological,social,aerate soil,run,have pointy ears,pair bond,Vulpan,behavioral,purpose,social,biological,jump,enable decomposition,share food with group members,are warm blooded,1,4,1,2,
4131,condition 1,1,generic,Jig,biological,purpose,behavioral,social,have long legs,make honey,chew,follow the dominant group member,Zerp,behavioral,purpose,biological,social,swim,purify water,have hair,cooperate with group members,1,4,1,1,
4225,condition 1,1,generic,Xan,behavioral,social,biological,purpose,run,pair bond,have pointy ears,aerate soil,Vulpan,social,biological,behavioral,purpose,share food with group members,are warm blooded,jump,enable decomposition,3,1,1,,
4225,condition 1,1,generic,Zerp,biological,social,behavioral,purpose,have hair,cooperate with group members,swim,purify water,Jig,social,purpose,biological,behavioral,follow the dominant group member,make honey,have long legs,chew,3,2,3,1,
4201,condition 1,0,generic,Vulpan,biological,social,behavioral,purpose,are warm blooded,share food with group members,jump,enable decomposition,Jig,purpose,social,behavioral,biological,make honey,chew,follow the dominant group member,have long legs,3,4,2,2,
4201,condition 1,0,generic,Xan,biological,purpose,social,behavioral,have pointy ears,aerate soil,pair bond,run,Zerp,behavioral,social,purpose,biological,swim,cooperate with group members,purify water,have hair,4,4,2,2,
4157,condition 1,1,generic,Vulpan,social,purpose,behavioral,biological,share food with group members,enable decomposition,jump,are warm blooded,Zerp,purpose,behavioral,biological,social,purify water,swim,have hair,cooperate with group members,2,2,4,1,
4157,condition 1,1,generic,Jig,purpose,behavioral,social,biological,make honey,chew,follow the dominant group member,have long legs,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,2,3,4,2,
4199,condition 1,1,generic,Xan,purpose,behavioral,social,biological,aerate soil,pair bond,run,have pointy ears,Vulpan,behavioral,biological,purpose,social,jump,are warm blooded,enable decomposition,share food with group members,0,2,1,1,
4199,condition 1,1,generic,Jig,purpose,biological,social,behavioral,make honey,have long legs,chew,follow the dominant group member,Zerp,social,biological,behavioral,purpose,cooperate with group members,have hair,swim,purify water,1,3,2,1,
4161,condition 1,1,generic,Jig,purpose,biological,behavioral,social,make honey,have long legs,chew,follow the dominant group member,Vulpan,social,behavioral,biological,purpose,share food with group members,jump,are warm blooded,enable decomposition,1,1,1,1,
4161,condition 1,1,generic,Zerp,purpose,behavioral,biological,social,purify water,swim,have hair,cooperate with group members,Xan,social,behavioral,biological,purpose,pair bond,run,have pointy ears,aerate soil,1,1,1,1,
4183,condition 1,1,generic,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,Vulpan,behavioral,social,biological,purpose,jump,share food with group members,are warm blooded,enable decomposition,1,1,5,2,
4183,condition 1,1,generic,Xan,social,biological,purpose,behavioral,pair bond,have pointy ears,aerate soil,run,Zerp,purpose,biological,behavioral,social,purify water,have hair,swim,cooperate with group members,1,1,4,3,
4165,condition 1,1,generic,Xan,purpose,biological,social,behavioral,aerate soil,have pointy ears,pair bond,run,Vulpan,social,purpose,biological,behavioral,share food with group members,enable decomposition,are warm blooded,jump,2,1,1,2,
4165,condition 1,1,generic,Jig,purpose,social,biological,behavioral,make honey,follow the dominant group member,have long legs,chew,Zerp,social,purpose,behavioral,biological,cooperate with group members,purify water,swim,have hair,2,2,3,2,
4141,condition 1,1,generic,Zerp,behavioral,biological,purpose,social,swim,have hair,purify water,cooperate with group members,Vulpan,social,behavioral,purpose,biological,share food with group members,jump,enable decomposition,are warm blooded,0,2,1,1,
4141,condition 1,1,generic,Jig,biological,purpose,behavioral,social,have long legs,make honey,chew,follow the dominant group member,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,1,1,4,0,
4195,condition 1,1,generic,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,Vulpan,biological,behavioral,social,purpose,are warm blooded,jump,share food with group members,enable decomposition,4,4,4,4,
4195,condition 1,1,generic,Zerp,social,behavioral,biological,purpose,cooperate with group members,swim,have hair,purify water,Jig,social,behavioral,purpose,biological,follow the dominant group member,chew,make honey,have long legs,4,5,5,4,
4187,condition 1,1,generic,Vulpan,social,purpose,behavioral,biological,share food with group members,enable decomposition,jump,are warm blooded,Xan,biological,social,behavioral,purpose,have pointy ears,pair bond,run,aerate soil,2,2,2,2,
4187,condition 1,1,generic,Zerp,purpose,behavioral,biological,social,purify water,swim,have hair,cooperate with group members,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,2,2,2,2,
4151,condition 1,1,generic,Vulpan,biological,social,behavioral,purpose,are warm blooded,share food with group members,jump,enable decomposition,Xan,purpose,biological,behavioral,social,aerate soil,have pointy ears,run,pair bond,2,0,0,1,
4151,condition 1,1,generic,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,Zerp,biological,social,behavioral,purpose,have hair,cooperate with group members,swim,purify water,6,2,2,0,
4133,condition 1,1,generic,Zerp,behavioral,biological,social,purpose,swim,have hair,cooperate with group members,purify water,Vulpan,biological,social,purpose,behavioral,are warm blooded,share food with group members,enable decomposition,jump,3,1,4,1,
4133,condition 1,1,generic,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,Xan,biological,behavioral,purpose,social,have pointy ears,run,aerate soil,pair bond,4,1,1,1,
4135,condition 1,1,generic,Vulpan,purpose,behavioral,social,biological,jump,enable decomposition,share food with group members,are warm blooded,Xan,biological,behavioral,purpose,social,have pointy ears,run,aerate soil,pair bond,1,5,1,1,
4135,condition 1,1,generic,Zerp,behavioral,biological,purpose,social,have hair,swim,purify water,cooperate with group members,Jig,behavioral,biological,social,purpose,chew,have long legs,follow the dominant group member,make honey,1,4,4,4,
4155,condition 1,1,generic,Vulpan,biological,purpose,behavioral,social,are warm blooded,enable decomposition,jump,share food with group members,Xan,behavioral,purpose,social,biological,run,aerate soil,pair bond,have pointy ears,4,4,4,4,
4155,condition 1,1,generic,Zerp,purpose,behavioral,social,biological,purify water,swim,cooperate with group members,have hair,Jig,social,biological,behavioral,purpose,follow the dominant group member,have long legs,chew,make honey,4,4,4,4,
4185,condition 1,1,generic,Vulpan,biological,behavioral,purpose,social,are warm blooded,jump,enable decomposition,share food with group members,Jig,behavioral,biological,social,purpose,chew,have long legs,follow the dominant group member,make honey,2,2,4,2,
4185,condition 1,1,generic,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,Zerp,social,behavioral,purpose,biological,cooperate with group members,swim,purify water,have hair,2,2,4,1,
4179,condition 1,1,generic,Vulpan,behavioral,biological,purpose,social,jump,are warm blooded,enable decomposition,share food with group members,Zerp,purpose,social,behavioral,biological,purify water,cooperate with group members,swim,have hair,2,2,4,0,
4179,condition 1,1,generic,Jig,purpose,behavioral,biological,social,make honey,chew,have long legs,follow the dominant group member,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,2,1,4,1,
4221,condition 1,1,generic,Vulpan,biological,purpose,social,behavioral,are warm blooded,jump,share food with group members,enable decomposition,Xan,biological,social,purpose,behavioral,have pointy ears,pair bond,aerate soil,run,5,1,5,3,
4221,condition 1,1,generic,Zerp,behavioral,purpose,biological,social,swim,purify water,have hair,cooperate with group members,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,3,2,5,5,
4129,condition 1,1,generic,Vulpan,biological,purpose,social,behavioral,are warm blooded,enable decomposition,share food with group members,jump,Jig,social,behavioral,purpose,biological,follow the dominant group member,chew,make honey,have long legs,1,1,1,1,
4129,condition 1,1,generic,Xan,purpose,biological,behavioral,social,aerate soil,have pointy ears,run,pair bond,Zerp,purpose,biological,social,behavioral,purify water,have hair,cooperate with group members,swim,1,1,4,1,
4174,condition 2,1,non_generic,Vulpan,social,behavioral,purpose,biological,shares food with group members,jumps,enables decomposition,is warm blooded,Xan,social,purpose,behavioral,biological,pair bonds,aerates soil,runs,has pointy ears,1,4,4,3,
4174,condition 2,1,non_generic,Zerp,purpose,biological,behavioral,social,purifies water,has hair,swims,cooperates with group members,Jig,social,purpose,biological,behavioral,follows the dominant group member,makes honey,has long legs,chews,1,3,3,1,
4220,condition 2,1,non_generic,Vulpan,purpose,social,biological,behavioral,enables decomposition,shares food with group members,is warm blooded,jumps,Xan,biological,behavioral,purpose,social,has pointy ears,runs,aerates soil,pair bonds,1,2,2,1,
4220,condition 2,1,non_generic,Zerp,behavioral,biological,social,purpose,swims,has hair,cooperates with group members,purifies water,Jig,behavioral,biological,social,purpose,chews,has long legs,follows the dominant group member,makes honey,1,1,2,2,
4142,condition 2,1,non_generic,Zerp,behavioral,social,purpose,biological,swims,cooperates with group members,purifies water,has hair,Vulpan,behavioral,biological,purpose,social,jumps,is warm blooded,enables decomposition,shares food with group members,3,0,3,6,
4142,condition 2,1,non_generic,Xan,behavioral,social,biological,purpose,runs,pair bonds,has pointy ears,aerates soil,Jig,purpose,behavioral,social,biological,makes honey,chews,follows the dominant group member,has long legs,3,3,6,5,
4205,condition 2,1,non_generic,Zerp,purpose,biological,behavioral,social,purifies water,has hair,swims,cooperates with group members,Vulpan,social,purpose,biological,behavioral,shares food with group members,enables decomposition,is warm blooded,jumps,0,0,0,0,
4205,condition 2,1,non_generic,Xan,purpose,behavioral,social,biological,aerates soil,runs,pair bonds,has pointy ears,Jig,biological,social,purpose,behavioral,has long legs,follows the dominant group member,makes honey,chews,0,0,0,0,
4184,condition 2,1,non_generic,Vulpan,biological,purpose,social,behavioral,is warm blooded,enables decomposition,shares food with group members,jumps,Jig,behavioral,biological,social,purpose,chews,has long legs,follows the dominant group member,makes honey,2,1,2,2,
4184,condition 2,1,non_generic,Xan,biological,purpose,behavioral,social,has pointy ears,aerates soil,runs,pair bonds,Zerp,purpose,biological,social,behavioral,purifies water,has hair,cooperates with group members,swims,2,2,2,2,
4232,condition 2,1,non_generic,Vulpan,social,purpose,biological,behavioral,shares food with group members,jumps,is warm blooded,enables decomposition,Jig,behavioral,social,biological,purpose,chews,follows the dominant group member,has long legs,makes honey,1,1,2,1,
4232,condition 2,1,non_generic,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,Xan,social,biological,purpose,behavioral,pair bonds,has pointy ears,aerates soil,runs,1,2,2,1,
4198,condition 2,1,non_generic,Zerp,biological,behavioral,social,purpose,has hair,swims,cooperates with group members,purifies water,Vulpan,purpose,biological,social,behavioral,enables decomposition,is warm blooded,shares food with group members,jumps,1,1,1,1,
4198,condition 2,1,non_generic,Jig,behavioral,biological,purpose,social,chews,has long legs,makes honey,follows the dominant group member,Xan,biological,purpose,social,behavioral,has pointy ears,aerates soil,pair bonds,runs,1,1,1,1,
4202,condition 2,1,non_generic,Xan,purpose,behavioral,social,biological,aerates soil,runs,pair bonds,has pointy ears,Vulpan,social,behavioral,purpose,biological,shares food with group members,jumps,enables decomposition,is warm blooded,1,3,1,1,
4202,condition 2,1,non_generic,Zerp,behavioral,purpose,biological,social,swims,purifies water,has hair,cooperates with group members,Jig,behavioral,purpose,social,biological,chews,makes honey,follows the dominant group member,has long legs,1,1,4,1,
4168,condition 2,1,non_generic,Jig,purpose,biological,behavioral,social,chews,has long legs,makes honey,follows the dominant group member,Vulpan,social,biological,purpose,behavioral,shares food with group members,is warm blooded,enables decomposition,jumps,2,3,6,1,
4168,condition 2,1,non_generic,Xan,social,biological,behavioral,purpose,pair bonds,has pointy ears,runs,aerates soil,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,5,2,1,4,
4160,condition 2,1,non_generic,Vulpan,biological,behavioral,purpose,social,is warm blooded,jumps,enables decomposition,shares food with group members,Jig,social,biological,purpose,behavioral,follows the dominant group member,has long legs,chews,makes honey,1,1,0,1,
4160,condition 2,1,non_generic,Zerp,behavioral,biological,social,purpose,swims,has hair,cooperates with group members,purifies water,Xan,social,behavioral,purpose,biological,pair bonds,runs,aerates soil,has pointy ears,3,1,4,1,
4128,condition 2,1,non_generic,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,pair bonds,runs,Vulpan,biological,purpose,social,behavioral,is warm blooded,enables decomposition,shares food with group members,jumps,1,5,4,1,
4128,condition 2,1,non_generic,Jig,biological,behavioral,purpose,social,has long legs,chews,makes honey,follows the dominant group member,Zerp,biological,behavioral,social,purpose,swims,has hair,cooperates with group members,purifies water,4,5,5,4,
4178,condition 2,1,non_generic,Vulpan,purpose,social,behavioral,biological,enables decomposition,shares food with group members,jumps,is warm blooded,Xan,behavioral,purpose,biological,social,runs,aerates soil,has pointy ears,pair bonds,2,2,2,2,
4178,condition 2,1,non_generic,Jig,purpose,social,behavioral,biological,makes honey,follows the dominant group member,chews,has long legs,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,2,2,4,2,
4229,condition 2,1,non_generic,Vulpan,social,purpose,biological,behavioral,shares food with group members,enables decomposition,is warm blooded,jumps,Zerp,biological,social,purpose,behavioral,has hair,cooperates with group members,purifies water,swims,1,1,2,1,
4229,condition 2,1,non_generic,Jig,behavioral,social,purpose,biological,chews,follows the dominant group member,makes honey,has long legs,Xan,biological,purpose,behavioral,social,has pointy ears,aerates soil,runs,pair bonds,1,2,4,2,
4146,condition 2,0,non_generic,Jig,purpose,behavioral,biological,social,makes honey,chews,has long legs,follows the dominant group member,Vulpan,social,behavioral,purpose,biological,shares food with group members,jumps,enables decomposition,is warm blooded,1,4,2,1,
4146,condition 2,0,non_generic,Xan,behavioral,social,biological,purpose,runs,pair bonds,has pointy ears,aerates soil,Zerp,biological,behavioral,social,purpose,has hair,swims,cooperates with group members,purifies water,1,3,2,1,
4203,condition 2,1,non_generic,Vulpan,biological,behavioral,purpose,social,is warm blooded,jumps,enables decomposition,shares food with group members,Jig,behavioral,purpose,social,biological,chews,makes honey,follows the dominant group member,has long legs,3,3,3,3,
4203,condition 2,1,non_generic,Xan,social,purpose,biological,behavioral,pair bonds,aerates soil,has pointy ears,runs,Zerp,purpose,behavioral,social,biological,purifies water,swims,cooperates with group members,has hair,3,3,3,3,
4212,condition 2,1,non_generic,Jig,purpose,social,biological,behavioral,makes honey,follows the dominant group member,has long legs,chews,Vulpan,behavioral,social,purpose,biological,jumps,shares food with group members,enables decomposition,is warm blooded,2,3,3,2,
4212,condition 2,1,non_generic,Xan,social,behavioral,purpose,biological,pair bonds,runs,aerates soil,has pointy ears,Zerp,social,behavioral,purpose,biological,cooperates with group members,swims,purifies water,has hair,4,3,4,2,
4149,condition 2,1,non_generic,Vulpan,social,purpose,biological,behavioral,shares food with group members,enables decomposition,is warm blooded,jumps,Jig,behavioral,purpose,social,biological,chews,makes honey,follows the dominant group member,has long legs,1,1,4,2,
4149,condition 2,1,non_generic,Xan,social,purpose,biological,behavioral,pair bonds,aerates soil,has pointy ears,runs,Zerp,behavioral,social,purpose,biological,swims,cooperates with group members,purifies water,has hair,2,2,4,3,
